City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto baquerizo moreno,58.9319,28.3774,17.42,69,0,1.55,RU,1719459087
84,chonchi,14.209,46.3594,23.95,43,72,2.3,YE,1719459087
85,bakanas,51.6696,-128.5012,12.78,88,100,2.99,CA,1719459088
86,xining,58.5417,13.091,13.5,94,0,2.13,SE,1719459089
87,slavgorod,50.0334,8.9423,21.49,87,100,1.43,DE,1719459091
88,floro,30.2717,56.9156,23.01,31,20,2.06,IR,1719459091
89,delta,6.3544,14.8267,17.77,94,99,0.44,CM,1719459092
90,souillac,27.7797,-83.3145,28.43,73,27,5.51,US,1719459094
91,touros,50.6055,-60.2599,13.4,96,94,3.28,CA,1719459094
92,sittwe,62.2161,-73.7859,-1.22,98,84,1.19,CA,1719459094
93,montepuez,38.3211,103.3185,32.04,18,96,8.17,CN,1719459095
94,arraial do cabo,44.4226,-9.2756,16.18,91,66,6.41,ES,1719459095
95,puerto gaitan,40.3215,99.8961,34.35,16,100,4.77,CN,1719459096
96,patterson,33.101,117.2567,30.98,46,81,1.91,CN,1719459096
97,najran,1.5317,40.352,25.4,73,96,7.16,KE,1719459096
98,veraval,52.7367,-132.003,17.65,86,81,2.64,CA,1719459097
99,tomatlan,-8.4636,124.8365,26.64,74,1,3.04,ID,1719459098
100,tbeng meanchey,18.1982,53.7027,34.63,36,49,5.19,OM,1719459102
101,margate,54.4947,-96.4839,10.09,53,37,1.92,CA,1719459103
102,lamarque,77.5288,21.983,0.87,100,100,0.79,SJ,1719459104
103,rokytne,31.2956,43.2141,33.43,20,0,6.82,IQ,1719459104
104,baardheere,47.0217,-82.8464,11.13,59,88,1.06,CA,1719459105
105,nola,23.8358,67.9616,29.2,86,99,4.59,PK,1719459106
106,pandan,45.2177,68.1487,36.78,13,1,9.49,KZ,1719459108
107,gaalkacyo,-37.5759,-65.2553,10.68,53,100,4.44,AR,1719459108
108,baukau,59.5158,119.5369,22.35,32,97,3.2,RU,1719459109
109,la passe,42.2666,82.6466,28.69,18,21,2.55,CN,1719459110
110,kitee,33.9527,63.6658,23.79,24,1,0.66,AF,1719459111
111,ciudad sandino,34.6868,-117.5616,30.9,30,0,7.72,US,1719459114
112,luang prabang,33.3518,74.9413,14.83,49,0,1.87,IN,1719459114
113,berdigestyakh,-16.285,-65.9385,17.85,78,42,1.47,BO,1719459115
114,basco,50.6029,-102.3353,13.27,72,4,3.6,CA,1719459115
115,barcelos,-20.0536,-48.8588,19.52,45,4,0.32,BR,1719459116
116,saynshand,-27.8466,-67.0241,7.17,37,50,0.52,AR,1719459117
117,cheremukhovo,4.4448,116.2905,24.24,80,99,0.53,ID,1719459118
118,pangai,28.4469,44.6487,32.8,11,0,5.36,SA,1719459118
119,barguzin,-21.2496,168.5022,22.14,73,75,8.65,NC,1719459119
120,dikhil,5.948,2.5907,26.41,86,100,6.1,BJ,1719459121
121,coquimbo,-45.9847,169.1895,7.9,82,9,1.82,NZ,1719459122
122,tra vinh,11.7853,33.2326,26.05,68,49,4.43,SS,1719459123
123,nenjiang,25.4166,105.5342,23.98,81,100,3.13,CN,1719459124
124,ingeniero jacobacci,31.9743,51.1676,14.05,25,0,0.65,IR,1719459124
125,perbaungan,42.3896,49.8035,22.33,60,71,7.9,AZ,1719459124
126,aksuat,-8.5448,-63.2423,26.53,51,59,0.83,BR,1719459126
127,raja,8.8417,39.2511,13.6,84,89,4.46,ET,1719459126
128,governor's harbour,78.7945,-97.9931,0.14,93,12,3.35,CA,1719459128
129,hale,46.7353,-99.9813,14.15,82,0,3.74,US,1719459129
130,ojinaga,20.4184,98.8781,24.38,93,100,0.66,MM,1719459129
131,tanguieta,63.6203,147.8088,1.81,96,100,1.89,RU,1719459129
132,westport,-19.5959,64.3559,23.05,58,54,9.28,MU,1719459130
133,santa maria del oro,59.7877,67.3013,19.3,62,91,4.85,RU,1719459130
134,bargara,77.0537,17.6647,1.42,99,100,3.06,SJ,1719459132
135,chernyshevskiy,62.6875,64.6223,17.19,70,92,3.51,RU,1719459132
136,necochea,56.3112,79.6625,26.2,67,7,3.04,RU,1719459133
137,maceio,49.2329,-105.3031,17.83,59,24,6.69,CA,1719459134
138,sandnessjoen,55.0231,101.7894,24.93,48,53,3.42,RU,1719459135
139,el granada,40.1103,121.9351,25.75,53,100,8.47,CN,1719459136
140,port hedland,-30.8234,28.6081,4.01,71,0,2.24,LS,1719459136
141,zaysan,47.0812,120.1456,26.33,34,68,5.31,CN,1719459136
142,pacifica,21.3455,94.1733,28.45,75,82,2.68,MM,1719459137
143,nogliki,30.5987,47.7937,32.99,20,0,4.12,IQ,1719459137
144,madimba,-8.6546,121.6465,30.66,54,18,0.73,ID,1719459138
145,revda,24.6841,90.0708,32.84,62,99,4.26,BD,1719459139
146,auna,54.796,-165.2164,7.35,87,91,15.55,US,1719459140
147,campos belos,36.2495,43.0054,29.67,24,0,4.41,IQ,1719459141
148,samarra',10.3325,49.8595,30.34,38,94,12.1,SO,1719459143
149,bhisho,49.0968,-120.5876,11.42,93,13,1.96,CA,1719459145
150,howrah,61.3551,76.1776,21.95,54,84,3.82,RU,1719459145
151,gamay,15.5962,145.4544,28.95,77,8,7.62,MP,1719459146
152,manismata,41.8413,-8.8497,17.66,97,18,0.67,PT,1719459147
153,arvayheer,60.2008,-119.3596,17.41,31,33,3.66,CA,1719459148
154,huescar,35.765,56.8021,30.26,15,77,5.4,IR,1719459148
155,tauranga,55.1273,-110.9073,12.86,89,100,0.77,CA,1719459149
156,soe,38.755,-121.4829,29.88,40,0,6.69,US,1719459150
